Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	883493	868637	14856	4156	623	623	10700	0.0121	0.0047	0.0125	0.0044	0.0007
1	883493	864083	19410	8137	1013	390	11273	0.0128	0.0092	0.0133	0.0086	0.0004
2	883493	862541	20952	7971	839	449	12981	0.0147	0.0090	0.0152	0.0085	0.0005
3	883493	866121	17372	7716	708	259	9656	0.0109	0.0087	0.0113	0.0083	0.0003
4	883493	866439	17054	7452	480	221	9602	0.0109	0.0084	0.0111	0.0082	0.0003
5	883493	867009	16484	7419	477	256	9065	0.0103	0.0084	0.0105	0.0081	0.0003
6	883493	865787	17706	7302	447	191	10404	0.0118	0.0083	0.0120	0.0080	0.0002
7	883493	869090	14403	7065	339	148	7338	0.0083	0.0080	0.0085	0.0078	0.0002
8	883493	868341	15152	7100	332	184	8052	0.0091	0.0080	0.0093	0.0078	0.0002
9	883493	865322	18171	7144	387	203	11027	0.0125	0.0081	0.0127	0.0079	0.0002
10	883493	865773	17720	7043	496	293	10677	0.0121	0.0080	0.0124	0.0077	0.0003
11	883493	860336	23157	6796	521	228	16361	0.0185	0.0077	0.0188	0.0074	0.0003
12	883493	868705	14788	6511	373	145	8277	0.0094	0.0074	0.0096	0.0072	0.0002
13	883493	868176	15317	6614	302	157	8703	0.0099	0.0075	0.0100	0.0073	0.0002
14	883493	867392	16101	6633	371	214	9468	0.0107	0.0075	0.0109	0.0073	0.0002
15	883493	864213	19280	6659	504	290	12621	0.0143	0.0075	0.0146	0.0073	0.0003
16	883493	861719	21774	6908	548	258	14866	0.0168	0.0078	0.0171	0.0075	0.0003
17	883493	864339	19154	6809	469	211	12345	0.0140	0.0077	0.0142	0.0074	0.0002
18	883493	864314	19179	6610	463	252	12569	0.0142	0.0075	0.0145	0.0072	0.0003
19	883493	862306	21187	6727	603	351	14460	0.0164	0.0076	0.0167	0.0073	0.0004
20	883493	857851	25642	6814	837	486	18828	0.0213	0.0077	0.0218	0.0072	0.0006
21	883493	854774	28719	6936	950	464	21783	0.0247	0.0079	0.0252	0.0073	0.0005
22	883493	856176	27317	7038	956	492	20279	0.0230	0.0080	0.0235	0.0074	0.0006
23	883493	855953	27540	7043	1040	548	20497	0.0232	0.0080	0.0238	0.0074	0.0006
24	883493	852844	30649	7404	1267	719	23245	0.0263	0.0084	0.0270	0.0077	0.0008
25	883493	844406	39087	8105	1803	1084	30982	0.0351	0.0092	0.0361	0.0082	0.0012
26	883493	841857	41636	8510	2334	1250	33126	0.0375	0.0096	0.0388	0.0083	0.0014
27	883493	833801	49692	8688	2928	1678	41004	0.0464	0.0098	0.0481	0.0082	0.0019
28	883493	835224	48269	8939	3526	1848	39330	0.0445	0.0101	0.0465	0.0081	0.0021
29	883493	828715	54778	9575	4142	2294	45203	0.0512	0.0108	0.0535	0.0085	0.0026
30	883493	818070	65423	10567	5320	3026	54856	0.0621	0.0120	0.0651	0.0089	0.0034
31	883493	816827	66666	11262	6946	3920	55404	0.0627	0.0127	0.0666	0.0088	0.0044
32	883493	787313	96180	12622	9761	5841	83558	0.0946	0.0143	0.1001	0.0088	0.0066
33	883493	793517	89976	14830	12599	6758	75146	0.0851	0.0168	0.0922	0.0097	0.0076
34	883493	789846	93647	7945	6758	0	85702	0.0970	0.0090	0.1008	0.0052	0.0000
