Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1935551	1902780	32771	8954	1324	1324	23817	0.0123	0.0046	0.0126	0.0043	0.0007
1	1935551	1893294	42257	17798	2119	795	24459	0.0126	0.0092	0.0132	0.0086	0.0004
2	1935551	1889786	45765	17498	1785	990	28267	0.0146	0.0090	0.0151	0.0086	0.0005
3	1935551	1897194	38357	16804	1549	559	21553	0.0111	0.0087	0.0115	0.0083	0.0003
4	1935551	1897274	38277	16358	1082	523	21919	0.0113	0.0085	0.0116	0.0082	0.0003
5	1935551	1899254	36297	16301	1038	515	19996	0.0103	0.0084	0.0106	0.0082	0.0003
6	1935551	1896165	39386	16105	903	388	23281	0.0120	0.0083	0.0123	0.0081	0.0002
7	1935551	1903869	31682	15776	742	354	15906	0.0082	0.0082	0.0084	0.0080	0.0002
8	1935551	1902537	33014	15666	787	433	17348	0.0090	0.0081	0.0092	0.0079	0.0002
9	1935551	1895236	40315	15841	902	469	24474	0.0126	0.0082	0.0129	0.0080	0.0002
10	1935551	1896312	39239	16030	1136	667	23209	0.0120	0.0083	0.0123	0.0080	0.0003
11	1935551	1883224	52327	15476	1158	491	36851	0.0190	0.0080	0.0193	0.0077	0.0003
12	1935551	1902582	32969	14550	836	345	18419	0.0095	0.0075	0.0097	0.0073	0.0002
13	1935551	1901937	33614	14717	695	350	18897	0.0098	0.0076	0.0099	0.0074	0.0002
14	1935551	1899807	35744	14755	778	428	20989	0.0108	0.0076	0.0110	0.0074	0.0002
15	1935551	1892505	43046	14806	1057	629	28240	0.0146	0.0076	0.0149	0.0074	0.0003
16	1935551	1886725	48826	15204	1176	547	33622	0.0174	0.0079	0.0177	0.0076	0.0003
17	1935551	1894069	41482	14835	1068	521	26647	0.0138	0.0077	0.0140	0.0074	0.0003
18	1935551	1893471	42080	14821	1087	566	27259	0.0141	0.0077	0.0144	0.0074	0.0003
19	1935551	1889101	46450	15099	1274	708	31351	0.0162	0.0078	0.0165	0.0075	0.0004
20	1935551	1878868	56683	15235	1730	1022	41448	0.0214	0.0079	0.0219	0.0074	0.0005
21	1935551	1871186	64365	15707	2069	1047	48658	0.0251	0.0081	0.0257	0.0076	0.0005
22	1935551	1875322	60229	15863	2085	1038	44366	0.0229	0.0082	0.0235	0.0077	0.0005
23	1935551	1876185	59366	15656	2230	1192	43710	0.0226	0.0081	0.0232	0.0075	0.0006
24	1935551	1867951	67600	16443	2874	1682	51157	0.0264	0.0085	0.0272	0.0078	0.0009
25	1935551	1848865	86686	17892	4062	2380	68794	0.0355	0.0092	0.0366	0.0082	0.0012
26	1935551	1842626	92925	18623	5174	2794	74302	0.0384	0.0096	0.0397	0.0083	0.0014
27	1935551	1827986	107565	18985	6252	3458	88580	0.0458	0.0098	0.0474	0.0082	0.0018
28	1935551	1830502	105049	19525	7289	3831	85524	0.0442	0.0101	0.0461	0.0082	0.0020
29	1935551	1814959	120592	21254	9148	5317	99338	0.0513	0.0110	0.0537	0.0086	0.0027
30	1935551	1789937	145614	23740	12136	6819	121874	0.0630	0.0123	0.0661	0.0091	0.0035
31	1935551	1786612	148939	24967	15623	8804	123972	0.0640	0.0129	0.0681	0.0089	0.0045
32	1935551	1728105	207446	27638	21513	12709	179808	0.0929	0.0143	0.0985	0.0087	0.0066
33	1935551	1738784	196767	32662	27622	14913	164105	0.0848	0.0169	0.0919	0.0097	0.0077
34	1935551	1729960	205591	17568	14913	0	188023	0.0971	0.0091	0.1010	0.0052	0.0000
