Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	536936	528703	8233	1469	328	328	6764	0.0126	0.0027	0.0129	0.0024	0.0006
1	536936	527247	9689	2884	528	200	6805	0.0127	0.0054	0.0132	0.0049	0.0004
2	536936	526319	10617	2763	457	257	7854	0.0146	0.0051	0.0151	0.0047	0.0005
3	536936	528452	8484	2541	389	132	5943	0.0111	0.0047	0.0114	0.0044	0.0002
4	536936	528403	8533	2384	288	156	6149	0.0115	0.0044	0.0117	0.0042	0.0003
5	536936	528925	8011	2401	301	145	5610	0.0104	0.0045	0.0107	0.0042	0.0003
6	536936	528076	8860	2356	256	111	6504	0.0121	0.0044	0.0124	0.0041	0.0002
7	536936	530296	6640	2170	198	87	4470	0.0083	0.0040	0.0085	0.0039	0.0002
8	536936	530000	6936	2093	188	101	4843	0.0090	0.0039	0.0092	0.0037	0.0002
9	536936	528134	8802	2170	237	136	6632	0.0124	0.0040	0.0126	0.0038	0.0003
10	536936	528082	8854	2254	334	198	6600	0.0123	0.0042	0.0126	0.0039	0.0004
11	536936	524355	12581	2232	337	139	10349	0.0193	0.0042	0.0196	0.0038	0.0003
12	536936	529826	7110	2087	218	79	5023	0.0094	0.0039	0.0096	0.0037	0.0001
13	536936	529619	7317	2059	159	80	5258	0.0098	0.0038	0.0099	0.0037	0.0001
14	536936	529018	7918	2067	199	119	5851	0.0109	0.0038	0.0111	0.0037	0.0002
15	536936	526786	10150	2097	272	153	8053	0.0150	0.0039	0.0153	0.0037	0.0003
16	536936	525436	11500	2134	291	138	9366	0.0174	0.0040	0.0177	0.0037	0.0003
17	536936	527249	9687	2094	273	135	7593	0.0141	0.0039	0.0144	0.0036	0.0003
18	536936	527066	9870	2186	303	168	7684	0.0143	0.0041	0.0146	0.0038	0.0003
19	536936	525688	11248	2220	381	213	9028	0.0168	0.0041	0.0172	0.0038	0.0004
20	536936	523065	13871	2251	490	277	11620	0.0216	0.0042	0.0221	0.0037	0.0005
21	536936	520817	16119	2397	556	279	13722	0.0256	0.0045	0.0261	0.0039	0.0005
22	536936	521870	15066	2478	587	308	12588	0.0234	0.0046	0.0240	0.0041	0.0006
23	536936	521664	15272	2460	618	310	12812	0.0239	0.0046	0.0244	0.0040	0.0006
24	536936	519642	17294	2667	762	452	14627	0.0272	0.0050	0.0280	0.0043	0.0008
25	536936	514462	22474	3017	1118	666	19457	0.0362	0.0056	0.0373	0.0046	0.0012
26	536936	512931	24005	3259	1430	764	20746	0.0386	0.0061	0.0400	0.0047	0.0014
27	536936	508178	28758	3433	1731	967	25325	0.0472	0.0064	0.0488	0.0048	0.0018
28	536936	509159	27777	3600	2087	1120	24177	0.0450	0.0067	0.0470	0.0048	0.0021
29	536936	504741	32195	4096	2616	1496	28099	0.0523	0.0076	0.0548	0.0052	0.0028
30	536936	498227	38709	4728	3431	1935	33981	0.0633	0.0088	0.0665	0.0056	0.0036
31	536936	496963	39973	5170	4357	2422	34803	0.0648	0.0096	0.0689	0.0056	0.0045
32	536936	479927	57009	6042	5990	3568	50967	0.0949	0.0113	0.1005	0.0057	0.0066
33	536936	483645	53291	7337	7683	4115	45954	0.0856	0.0137	0.0927	0.0065	0.0077
34	536936	481221	55715	3960	4115	0	51755	0.0964	0.0074	0.1002	0.0035	0.0000
