Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	7780772	7645691	135081	33492	5467	5467	101589	0.0131	0.0043	0.0134	0.0040	0.0007
1	7780772	7612508	168264	67274	8749	3282	100990	0.0130	0.0086	0.0135	0.0081	0.0004
2	7780772	7597989	182783	66946	7372	4090	115837	0.0149	0.0086	0.0154	0.0081	0.0005
3	7780772	7627484	153288	64450	6463	2373	88838	0.0114	0.0083	0.0118	0.0079	0.0003
4	7780772	7625981	154791	62797	4458	2085	91994	0.0118	0.0081	0.0121	0.0078	0.0003
5	7780772	7635613	145159	63134	4295	2210	82025	0.0105	0.0081	0.0108	0.0078	0.0003
6	7780772	7621070	159702	62211	3866	1656	97491	0.0125	0.0080	0.0128	0.0077	0.0002
7	7780772	7657586	123186	60535	3003	1347	62651	0.0081	0.0078	0.0082	0.0076	0.0002
8	7780772	7651735	129037	60431	3157	1810	68606	0.0088	0.0078	0.0090	0.0076	0.0002
9	7780772	7619419	161353	60502	3693	1883	100851	0.0130	0.0078	0.0132	0.0075	0.0002
10	7780772	7624914	155858	60737	4599	2716	95121	0.0122	0.0078	0.0125	0.0075	0.0003
11	7780772	7570036	210736	58375	4697	1981	152361	0.0196	0.0075	0.0199	0.0072	0.0003
12	7780772	7654393	126379	55466	3261	1280	70913	0.0091	0.0071	0.0093	0.0069	0.0002
13	7780772	7650106	130666	56362	2663	1383	74304	0.0095	0.0072	0.0097	0.0071	0.0002
14	7780772	7640473	140299	55663	3091	1708	84636	0.0109	0.0072	0.0111	0.0070	0.0002
15	7780772	7609565	171207	55864	4155	2447	115343	0.0148	0.0072	0.0151	0.0069	0.0003
16	7780772	7584639	196133	57746	4619	2172	138387	0.0178	0.0074	0.0181	0.0071	0.0003
17	7780772	7621686	159086	56281	4079	1907	102805	0.0132	0.0072	0.0135	0.0070	0.0002
18	7780772	7618503	162269	56099	4079	2172	106170	0.0136	0.0072	0.0139	0.0069	0.0003
19	7780772	7596043	184729	57814	5026	2854	126915	0.0163	0.0074	0.0166	0.0071	0.0004
20	7780772	7556422	224350	58512	6966	4112	165838	0.0213	0.0075	0.0218	0.0071	0.0005
21	7780772	7520267	260505	59507	8107	3995	200998	0.0258	0.0076	0.0264	0.0071	0.0005
22	7780772	7552225	228547	59690	7937	3942	168857	0.0217	0.0077	0.0222	0.0072	0.0005
23	7780772	7548684	232088	59485	8398	4456	172603	0.0222	0.0076	0.0227	0.0071	0.0006
24	7780772	7513379	267393	62883	10795	6339	204510	0.0263	0.0081	0.0270	0.0074	0.0008
25	7780772	7439187	341585	69310	15953	9614	272275	0.0350	0.0089	0.0360	0.0079	0.0012
26	7780772	7403538	377234	72132	20525	10911	305102	0.0392	0.0093	0.0405	0.0080	0.0014
27	7780772	7371231	409541	72500	23616	12705	337041	0.0433	0.0093	0.0448	0.0078	0.0016
28	7780772	7378214	402558	75075	27131	14426	327483	0.0421	0.0096	0.0438	0.0079	0.0019
29	7780772	7302587	478185	82719	34981	20555	395466	0.0508	0.0106	0.0531	0.0084	0.0026
30	7780772	7206127	574645	93409	48597	28042	481236	0.0618	0.0120	0.0650	0.0089	0.0036
31	7780772	7176442	604330	98620	61844	33802	505710	0.0650	0.0127	0.0690	0.0087	0.0043
32	7780772	6987989	792783	106445	80705	46903	686338	0.0882	0.0137	0.0934	0.0085	0.0060
33	7780772	7025429	755343	124875	103996	57093	630468	0.0810	0.0160	0.0877	0.0094	0.0073
34	7780772	6971970	808802	67873	57093	0	740929	0.0952	0.0087	0.0989	0.0051	0.0000
