Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1372845	1355189	17656	5692	797	797	11964	0.0087	0.0041	0.0090	0.0039	0.0006
1	1372845	1348753	24092	11024	1136	339	13068	0.0095	0.0080	0.0099	0.0076	0.0002
2	1372845	1353199	19646	10530	591	252	9116	0.0066	0.0077	0.0069	0.0075	0.0002
3	1372845	1351048	21797	10246	615	363	11551	0.0084	0.0075	0.0086	0.0072	0.0003
4	1372845	1350677	22168	10224	626	263	11944	0.0087	0.0074	0.0089	0.0072	0.0002
5	1372845	1351206	21639	10086	579	316	11553	0.0084	0.0073	0.0086	0.0071	0.0002
6	1372845	1348695	24150	9807	510	194	14343	0.0104	0.0071	0.0106	0.0070	0.0001
7	1372845	1354795	18050	9630	358	164	8420	0.0061	0.0070	0.0063	0.0069	0.0001
8	1372845	1351654	21191	9620	377	213	11571	0.0084	0.0070	0.0086	0.0069	0.0002
9	1372845	1352641	20204	9741	400	187	10463	0.0076	0.0071	0.0078	0.0069	0.0001
10	1372845	1348865	23980	9718	456	269	14262	0.0104	0.0071	0.0106	0.0069	0.0002
11	1372845	1347909	24936	9295	476	207	15641	0.0114	0.0068	0.0116	0.0066	0.0002
12	1372845	1352491	20354	8854	379	172	11500	0.0084	0.0064	0.0085	0.0063	0.0001
13	1372845	1350672	22173	9188	369	197	12985	0.0095	0.0067	0.0096	0.0066	0.0001
14	1372845	1350837	22008	9186	463	266	12822	0.0093	0.0067	0.0095	0.0065	0.0002
15	1372845	1344871	27974	9223	648	382	18751	0.0137	0.0067	0.0139	0.0065	0.0003
16	1372845	1341377	31468	9498	671	289	21970	0.0160	0.0069	0.0162	0.0067	0.0002
17	1372845	1349019	23826	9116	576	287	14710	0.0107	0.0066	0.0109	0.0064	0.0002
18	1372845	1344946	27899	9157	602	315	18742	0.0137	0.0067	0.0139	0.0065	0.0002
19	1372845	1345374	27471	9483	721	406	17988	0.0131	0.0069	0.0134	0.0066	0.0003
20	1372845	1336591	36254	9518	1001	595	26736	0.0195	0.0069	0.0198	0.0066	0.0004
21	1372845	1332174	40671	9507	1213	618	31164	0.0227	0.0069	0.0231	0.0065	0.0005
22	1372845	1335269	37576	9666	1261	643	27910	0.0203	0.0070	0.0208	0.0066	0.0005
23	1372845	1336083	36762	9688	1270	627	27074	0.0197	0.0071	0.0202	0.0066	0.0005
24	1372845	1333450	39395	9873	1557	930	29522	0.0215	0.0072	0.0221	0.0066	0.0007
25	1372845	1319517	53328	11024	2433	1503	42304	0.0308	0.0080	0.0317	0.0071	0.0011
26	1372845	1312371	60474	11681	3151	1648	48793	0.0355	0.0085	0.0367	0.0074	0.0012
27	1372845	1314206	58639	11461	3243	1595	47178	0.0344	0.0083	0.0355	0.0072	0.0012
28	1372845	1315118	57727	11616	3369	1774	46111	0.0336	0.0085	0.0348	0.0072	0.0013
29	1372845	1306270	66575	11883	4271	2497	54692	0.0398	0.0087	0.0414	0.0071	0.0018
30	1372845	1289015	83830	15652	10383	7886	68178	0.0497	0.0114	0.0534	0.0076	0.0057
31	1372845	1173902	198943	18457	15683	7797	180486	0.1315	0.0134	0.1372	0.0077	0.0057
32	1372845	1277614	95231	15404	12099	4302	79827	0.0581	0.0112	0.0626	0.0068	0.0031
33	1372845	1273895	98950	16219	11180	6878	82731	0.0603	0.0118	0.0643	0.0077	0.0050
34	1372845	1256575	116270	9575	6878	0	106695	0.0777	0.0070	0.0802	0.0045	0.0000
