Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	8960225	8837327	122898	39717	4994	4994	83181	0.0093	0.0044	0.0096	0.0042	0.0006
1	8960225	8796717	163508	77891	7233	2239	85617	0.0096	0.0087	0.0100	0.0083	0.0002
2	8960225	8826722	133503	74943	3952	1713	58560	0.0065	0.0084	0.0068	0.0081	0.0002
3	8960225	8811554	148671	73360	3793	2080	75311	0.0084	0.0082	0.0086	0.0080	0.0002
4	8960225	8809274	150951	72808	3819	1739	78143	0.0087	0.0081	0.0089	0.0079	0.0002
5	8960225	8811227	148998	72520	3849	2110	76478	0.0085	0.0081	0.0088	0.0079	0.0002
6	8960225	8794736	165489	71412	3345	1235	94077	0.0105	0.0080	0.0107	0.0078	0.0001
7	8960225	8840269	119956	69726	2248	1013	50230	0.0056	0.0078	0.0057	0.0077	0.0001
8	8960225	8819401	140824	69831	2259	1246	70993	0.0079	0.0078	0.0080	0.0077	0.0001
9	8960225	8824409	135816	69684	2427	1181	66132	0.0074	0.0078	0.0075	0.0076	0.0001
10	8960225	8800480	159745	69284	2797	1616	90461	0.0101	0.0077	0.0103	0.0076	0.0002
11	8960225	8791992	168233	67215	2901	1285	101018	0.0113	0.0075	0.0114	0.0073	0.0001
12	8960225	8826004	134221	64722	2523	1238	69499	0.0078	0.0072	0.0079	0.0071	0.0001
13	8960225	8814145	146080	65614	2605	1367	80466	0.0090	0.0073	0.0091	0.0072	0.0002
14	8960225	8814703	145522	65202	2879	1512	80320	0.0090	0.0073	0.0091	0.0071	0.0002
15	8960225	8775522	184703	65639	3892	2380	119064	0.0133	0.0073	0.0135	0.0071	0.0003
16	8960225	8749289	210936	67672	4112	1732	143264	0.0160	0.0076	0.0162	0.0073	0.0002
17	8960225	8805976	154249	65696	3488	1756	88553	0.0099	0.0073	0.0101	0.0071	0.0002
18	8960225	8776029	184196	65228	3872	2116	118968	0.0133	0.0073	0.0135	0.0071	0.0002
19	8960225	8778218	182007	67321	4770	2654	114686	0.0128	0.0075	0.0131	0.0072	0.0003
20	8960225	8720522	239703	68770	6674	4020	170933	0.0191	0.0077	0.0194	0.0073	0.0004
21	8960225	8684474	275751	69984	7925	3905	205767	0.0230	0.0078	0.0234	0.0074	0.0004
22	8960225	8719115	241110	69197	7616	3711	171913	0.0192	0.0077	0.0196	0.0073	0.0004
23	8960225	8722705	237520	68370	7393	3682	169150	0.0189	0.0076	0.0193	0.0072	0.0004
24	8960225	8703166	257059	71731	9401	5719	185328	0.0207	0.0080	0.0212	0.0075	0.0006
25	8960225	8610158	350067	79129	15808	10089	270938	0.0302	0.0088	0.0311	0.0079	0.0011
26	8960225	8556909	403316	82519	20233	10144	320797	0.0358	0.0092	0.0369	0.0081	0.0011
27	8960225	8591882	368343	79553	19677	9533	288790	0.0322	0.0089	0.0333	0.0078	0.0011
28	8960225	8593986	366239	79687	20485	10952	286552	0.0320	0.0089	0.0331	0.0078	0.0012
29	8960225	8527304	432921	83133	26494	15542	349788	0.0390	0.0093	0.0405	0.0078	0.0017
30	8960225	8414773	545452	108344	66144	50602	437108	0.0488	0.0121	0.0525	0.0084	0.0056
31	8960225	7669721	1290504	125765	99416	48814	1164739	0.1300	0.0140	0.1355	0.0085	0.0054
32	8960225	8363322	596903	105093	74776	25962	491810	0.0549	0.0117	0.0591	0.0076	0.0029
33	8960225	8324111	636114	110352	71152	45190	525762	0.0587	0.0123	0.0626	0.0083	0.0050
34	8960225	8195934	764291	64792	45190	0	699499	0.0781	0.0072	0.0806	0.0047	0.0000
