Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	354701	350143	4558	1594	212	212	2964	0.0084	0.0045	0.0087	0.0042	0.0006
1	354701	348132	6569	3122	292	80	3447	0.0097	0.0088	0.0101	0.0084	0.0002
2	354701	349131	5570	3091	141	61	2479	0.0070	0.0087	0.0072	0.0085	0.0002
3	354701	348598	6103	3131	143	82	2972	0.0084	0.0088	0.0086	0.0086	0.0002
4	354701	348427	6274	3112	158	76	3162	0.0089	0.0088	0.0091	0.0086	0.0002
5	354701	348516	6185	3172	171	95	3013	0.0085	0.0089	0.0087	0.0087	0.0003
6	354701	347874	6827	3118	137	42	3709	0.0105	0.0088	0.0106	0.0086	0.0001
7	354701	349360	5341	2915	89	47	2426	0.0068	0.0082	0.0070	0.0081	0.0001
8	354701	348671	6030	2888	107	60	3142	0.0089	0.0081	0.0090	0.0080	0.0002
9	354701	348818	5883	2964	108	48	2919	0.0082	0.0084	0.0084	0.0082	0.0001
10	354701	347839	6862	2931	122	74	3931	0.0111	0.0083	0.0113	0.0081	0.0002
11	354701	347781	6920	2842	132	58	4078	0.0115	0.0080	0.0117	0.0078	0.0002
12	354701	348734	5967	2774	111	53	3193	0.0090	0.0078	0.0092	0.0077	0.0001
13	354701	348407	6294	2793	127	74	3501	0.0099	0.0079	0.0100	0.0077	0.0002
14	354701	348374	6327	2794	145	71	3533	0.0100	0.0079	0.0102	0.0077	0.0002
15	354701	346866	7835	2791	164	93	5044	0.0142	0.0079	0.0145	0.0076	0.0003
16	354701	346137	8564	2833	157	64	5731	0.0162	0.0080	0.0164	0.0078	0.0002
17	354701	347747	6954	2749	148	84	4205	0.0119	0.0078	0.0121	0.0075	0.0002
18	354701	346710	7991	2748	159	75	5243	0.0148	0.0077	0.0150	0.0075	0.0002
19	354701	346954	7747	2801	204	129	4946	0.0139	0.0079	0.0142	0.0076	0.0004
20	354701	344618	10083	2796	307	178	7287	0.0205	0.0079	0.0210	0.0075	0.0005
21	354701	343654	11047	2835	359	181	8212	0.0232	0.0080	0.0237	0.0075	0.0005
22	354701	344056	10645	2811	350	169	7834	0.0221	0.0079	0.0226	0.0074	0.0005
23	354701	344694	10007	2820	310	141	7187	0.0203	0.0080	0.0207	0.0075	0.0004
24	354701	343906	10795	2985	399	258	7810	0.0220	0.0084	0.0226	0.0079	0.0007
25	354701	340105	14596	3273	655	397	11323	0.0319	0.0092	0.0328	0.0083	0.0011
26	354701	338594	16107	3455	847	450	12652	0.0357	0.0097	0.0369	0.0085	0.0013
27	354701	338196	16505	3337	894	444	13168	0.0371	0.0094	0.0384	0.0081	0.0013
28	354701	339095	15606	3321	899	455	12285	0.0346	0.0094	0.0359	0.0081	0.0013
29	354701	336662	18039	3413	1086	631	14626	0.0412	0.0096	0.0428	0.0081	0.0018
30	354701	332202	22499	4318	2705	2074	18181	0.0513	0.0122	0.0551	0.0084	0.0058
31	354701	302217	52484	5079	4245	2171	47405	0.1336	0.0143	0.1396	0.0083	0.0061
32	354701	327907	26794	4484	3386	1215	22310	0.0629	0.0126	0.0677	0.0079	0.0034
33	354701	327438	27263	4709	3088	1873	22554	0.0636	0.0133	0.0679	0.0089	0.0053
34	354701	323729	30972	2693	1873	0	28279	0.0797	0.0076	0.0824	0.0050	0.0000
