Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	402440	396581	5859	1822	246	246	4037	0.0100	0.0045	0.0103	0.0042	0.0006
1	402440	392324	10116	3370	406	160	6746	0.0168	0.0084	0.0173	0.0079	0.0004
2	402440	396592	5848	3068	258	98	2780	0.0069	0.0076	0.0072	0.0073	0.0002
3	402440	396634	5806	2899	173	75	2907	0.0072	0.0072	0.0074	0.0070	0.0002
4	402440	396287	6153	2996	305	230	3157	0.0078	0.0074	0.0082	0.0071	0.0006
5	402440	381767	20673	3218	459	229	17455	0.0434	0.0080	0.0439	0.0074	0.0006
6	402440	395644	6796	3052	301	72	3744	0.0093	0.0076	0.0097	0.0072	0.0002
7	402440	396536	5904	2777	120	48	3127	0.0078	0.0069	0.0079	0.0068	0.0001
8	402440	396856	5584	2660	131	83	2924	0.0073	0.0066	0.0074	0.0064	0.0002
9	402440	396154	6286	2707	143	60	3579	0.0089	0.0067	0.0091	0.0066	0.0001
10	402440	396243	6197	2837	120	60	3360	0.0083	0.0070	0.0085	0.0069	0.0001
11	402440	395494	6946	2896	135	75	4050	0.0101	0.0072	0.0102	0.0070	0.0002
12	402440	395998	6442	2794	193	118	3648	0.0091	0.0069	0.0093	0.0067	0.0003
13	402440	391510	10930	2825	263	145	8105	0.0201	0.0070	0.0205	0.0067	0.0004
14	402440	395174	7266	2790	222	77	4476	0.0111	0.0069	0.0114	0.0067	0.0002
15	402440	395210	7230	2718	210	133	4512	0.0112	0.0068	0.0115	0.0065	0.0003
16	402440	389276	13164	2914	318	185	10250	0.0255	0.0072	0.0259	0.0068	0.0005
17	402440	394502	7938	2898	278	93	5040	0.0125	0.0072	0.0129	0.0069	0.0002
18	402440	394521	7919	2824	200	107	5095	0.0127	0.0070	0.0129	0.0068	0.0003
19	402440	393000	9440	2947	321	214	6493	0.0161	0.0073	0.0165	0.0069	0.0005
20	402440	388753	13687	2959	422	208	10728	0.0267	0.0074	0.0272	0.0068	0.0005
21	402440	390835	11605	3040	430	222	8565	0.0213	0.0076	0.0218	0.0070	0.0006
22	402440	390365	12075	3197	436	214	8878	0.0221	0.0079	0.0226	0.0074	0.0005
23	402440	390852	11588	3079	435	221	8509	0.0211	0.0077	0.0217	0.0071	0.0005
24	402440	389366	13074	3224	626	405	9850	0.0245	0.0080	0.0253	0.0072	0.0010
25	402440	383299	19141	3590	861	456	15551	0.0386	0.0089	0.0397	0.0079	0.0011
26	402440	386844	15596	3611	934	478	11985	0.0298	0.0090	0.0309	0.0078	0.0012
27	402440	382255	20185	3888	1306	828	16297	0.0405	0.0097	0.0421	0.0080	0.0021
28	402440	378626	23814	4109	1701	873	19705	0.0490	0.0102	0.0511	0.0081	0.0022
29	402440	381188	21252	4298	2062	1189	16954	0.0421	0.0107	0.0447	0.0081	0.0030
30	402440	368474	33966	4589	2455	1266	29377	0.0730	0.0114	0.0760	0.0084	0.0031
31	402440	377318	25122	4873	2922	1656	20249	0.0503	0.0121	0.0539	0.0085	0.0041
32	402440	356649	45791	3592	2447	791	42199	0.1049	0.0089	0.1079	0.0059	0.0020
33	402440	369160	33280	7149	13302	12511	26131	0.0649	0.0178	0.0815	0.0012	0.0311
34	402440	106467	295973	6134	12511	0	289839	0.7202	0.0152	0.7357	-0.0003	0.0000
