Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	3465709	3413133	52576	17180	2001	2001	35396	0.0102	0.0050	0.0105	0.0047	0.0006
1	3465709	3374292	91417	33024	3345	1344	58393	0.0168	0.0095	0.0173	0.0090	0.0004
2	3465709	3410903	54806	31211	2131	787	23595	0.0068	0.0090	0.0071	0.0087	0.0002
3	3465709	3410471	55238	30139	1584	797	25099	0.0072	0.0087	0.0075	0.0085	0.0002
4	3465709	3406115	59594	30969	2929	2132	28625	0.0083	0.0089	0.0087	0.0085	0.0006
5	3465709	3280359	185350	32213	4157	2025	153137	0.0442	0.0093	0.0448	0.0087	0.0006
6	3465709	3401518	64191	31097	2629	604	33094	0.0095	0.0090	0.0099	0.0086	0.0002
7	3465709	3410053	55656	29666	1105	501	25990	0.0075	0.0086	0.0077	0.0084	0.0001
8	3465709	3412217	53492	29831	1066	565	23661	0.0068	0.0086	0.0070	0.0085	0.0002
9	3465709	3404515	61194	30360	1065	500	30834	0.0089	0.0088	0.0091	0.0086	0.0001
10	3465709	3407227	58482	30118	1046	546	28364	0.0082	0.0087	0.0083	0.0085	0.0002
11	3465709	3399888	65821	30165	1148	602	35656	0.0103	0.0087	0.0105	0.0085	0.0002
12	3465709	3404552	61157	29997	1639	1037	31160	0.0090	0.0087	0.0092	0.0084	0.0003
13	3465709	3366943	98766	30458	2253	1216	68308	0.0197	0.0088	0.0200	0.0085	0.0004
14	3465709	3396534	69175	30168	1873	657	39007	0.0113	0.0087	0.0115	0.0084	0.0002
15	3465709	3397739	67970	29679	1866	1209	38291	0.0110	0.0086	0.0113	0.0083	0.0003
16	3465709	3344236	121473	31229	2515	1306	90244	0.0260	0.0090	0.0264	0.0086	0.0004
17	3465709	3393682	72027	30870	2062	756	41157	0.0119	0.0089	0.0122	0.0086	0.0002
18	3465709	3392938	72771	29616	1732	976	43155	0.0125	0.0085	0.0127	0.0083	0.0003
19	3465709	3379166	86543	30941	2705	1729	55602	0.0160	0.0089	0.0164	0.0085	0.0005
20	3465709	3346338	119371	31749	3637	1908	87622	0.0253	0.0092	0.0258	0.0086	0.0006
21	3465709	3357490	108219	31976	3665	1757	76243	0.0220	0.0092	0.0225	0.0087	0.0005
22	3465709	3363560	102149	32046	3439	1682	70103	0.0202	0.0092	0.0207	0.0088	0.0005
23	3465709	3364064	101645	31300	3761	2079	70345	0.0203	0.0090	0.0208	0.0085	0.0006
24	3465709	3345207	120502	33571	5508	3429	86931	0.0251	0.0097	0.0259	0.0089	0.0010
25	3465709	3303759	161950	36426	7166	3737	125524	0.0362	0.0105	0.0373	0.0095	0.0011
26	3465709	3320314	145395	37121	7667	3930	108274	0.0312	0.0107	0.0323	0.0096	0.0011
27	3465709	3298072	167637	38865	10037	6107	128772	0.0372	0.0112	0.0386	0.0098	0.0018
28	3465709	3262669	203040	40689	13191	7084	162351	0.0468	0.0117	0.0487	0.0098	0.0020
29	3465709	3274834	190875	42699	16975	9891	148176	0.0428	0.0123	0.0452	0.0099	0.0029
30	3465709	3186343	279366	44411	20528	10637	234955	0.0678	0.0128	0.0708	0.0099	0.0031
31	3465709	3237735	227974	46905	25120	14483	181069	0.0522	0.0135	0.0559	0.0099	0.0042
32	3465709	3088718	376991	33252	20369	5886	343739	0.0992	0.0096	0.1021	0.0067	0.0017
33	3465709	3187028	278681	60570	110753	104867	218111	0.0629	0.0175	0.0789	0.0015	0.0303
34	3465709	908780	2556929	52001	104867	0	2504928	0.7228	0.0150	0.7379	-0.0001	0.0000
