Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1862288	1834554	27734	8859	1110	1110	18875	0.0101	0.0048	0.0104	0.0045	0.0006
1	1862288	1814319	47969	16671	1814	704	31298	0.0168	0.0090	0.0173	0.0085	0.0004
2	1862288	1834249	28039	15488	1091	387	12551	0.0067	0.0083	0.0070	0.0080	0.0002
3	1862288	1833697	28591	15116	826	439	13475	0.0072	0.0081	0.0075	0.0079	0.0002
4	1862288	1831975	30313	15278	1547	1108	15035	0.0081	0.0082	0.0085	0.0078	0.0006
5	1862288	1764829	97459	15742	2163	1055	81717	0.0439	0.0085	0.0445	0.0079	0.0006
6	1862288	1829447	32841	15299	1383	328	17542	0.0094	0.0082	0.0098	0.0078	0.0002
7	1862288	1833607	28681	14562	580	252	14119	0.0076	0.0078	0.0077	0.0077	0.0001
8	1862288	1835077	27211	14545	563	311	12666	0.0068	0.0078	0.0070	0.0077	0.0002
9	1862288	1830968	31320	14761	609	298	16559	0.0089	0.0079	0.0091	0.0078	0.0002
10	1862288	1832098	30190	14908	594	296	15282	0.0082	0.0080	0.0084	0.0078	0.0002
11	1862288	1828668	33620	14857	610	314	18763	0.0101	0.0080	0.0102	0.0078	0.0002
12	1862288	1830783	31505	14510	905	591	16995	0.0091	0.0078	0.0094	0.0075	0.0003
13	1862288	1811065	51223	14828	1207	616	36395	0.0195	0.0080	0.0199	0.0076	0.0003
14	1862288	1826746	35542	14770	983	367	20772	0.0112	0.0079	0.0114	0.0077	0.0002
15	1862288	1826674	35614	14758	1021	654	20856	0.0112	0.0079	0.0115	0.0077	0.0004
16	1862288	1798727	63561	15475	1416	762	48086	0.0258	0.0083	0.0262	0.0079	0.0004
17	1862288	1824586	37702	15086	1193	431	22616	0.0121	0.0081	0.0125	0.0078	0.0002
18	1862288	1824446	37842	14673	928	497	23169	0.0124	0.0079	0.0127	0.0076	0.0003
19	1862288	1816829	45459	15540	1414	917	29919	0.0161	0.0083	0.0164	0.0080	0.0005
20	1862288	1798906	63382	16144	1946	1029	47238	0.0254	0.0087	0.0259	0.0081	0.0006
21	1862288	1805634	56654	16036	1976	947	40618	0.0218	0.0086	0.0223	0.0081	0.0005
22	1862288	1808582	53706	15924	1770	823	37782	0.0203	0.0086	0.0208	0.0081	0.0004
23	1862288	1808742	53546	15588	1933	1110	37958	0.0204	0.0084	0.0209	0.0079	0.0006
24	1862288	1798827	63461	16620	3017	1907	46841	0.0252	0.0089	0.0260	0.0081	0.0010
25	1862288	1775919	86369	18220	3876	1969	68149	0.0366	0.0098	0.0376	0.0087	0.0011
26	1862288	1785911	76377	18386	4154	2185	57991	0.0311	0.0099	0.0323	0.0088	0.0012
27	1862288	1772222	90066	19591	5537	3352	70475	0.0378	0.0105	0.0393	0.0090	0.0018
28	1862288	1753501	108787	20768	7132	3780	88019	0.0473	0.0112	0.0492	0.0092	0.0020
29	1862288	1761236	101052	21621	9222	5442	79431	0.0427	0.0116	0.0451	0.0091	0.0029
30	1862288	1711582	150706	22670	11096	5654	128036	0.0688	0.0122	0.0717	0.0092	0.0030
31	1862288	1741210	121078	23845	13508	7854	97233	0.0522	0.0128	0.0558	0.0092	0.0042
32	1862288	1658182	204106	16969	11213	3359	187137	0.1005	0.0091	0.1035	0.0061	0.0018
33	1862288	1712383	149905	32233	59897	56538	117672	0.0632	0.0173	0.0793	0.0012	0.0304
34	1862288	488467	1373821	27769	56538	0	1346052	0.7228	0.0149	0.7380	-0.0003	0.0000
