Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	2956113	2912801	43312	12751	1689	1689	30561	0.0103	0.0043	0.0106	0.0040	0.0006
1	2956113	2882639	73474	24326	2707	1018	49148	0.0166	0.0082	0.0171	0.0078	0.0003
2	2956113	2913923	42190	22637	1707	689	19553	0.0066	0.0077	0.0069	0.0074	0.0002
3	2956113	2913239	42874	21884	1330	641	20990	0.0071	0.0074	0.0073	0.0072	0.0002
4	2956113	2909697	46416	22640	2378	1737	23776	0.0080	0.0077	0.0084	0.0073	0.0006
5	2956113	2800670	155443	23571	3407	1670	131872	0.0446	0.0080	0.0452	0.0074	0.0006
6	2956113	2905598	50515	22457	2205	535	28058	0.0095	0.0076	0.0099	0.0072	0.0002
7	2956113	2912934	43179	20858	948	413	22321	0.0076	0.0071	0.0077	0.0069	0.0001
8	2956113	2915194	40919	21044	901	488	19875	0.0067	0.0071	0.0069	0.0070	0.0002
9	2956113	2907924	48189	21546	904	416	26643	0.0090	0.0073	0.0092	0.0071	0.0001
10	2956113	2910960	45153	21215	831	415	23938	0.0081	0.0072	0.0082	0.0070	0.0001
11	2956113	2904358	51755	21261	942	527	30494	0.0103	0.0072	0.0105	0.0070	0.0002
12	2956113	2908252	47861	21273	1393	866	26588	0.0090	0.0072	0.0092	0.0070	0.0003
13	2956113	2876106	80007	21836	1885	1019	58171	0.0197	0.0074	0.0200	0.0071	0.0003
14	2956113	2901122	54991	21624	1606	587	33367	0.0113	0.0073	0.0116	0.0070	0.0002
15	2956113	2901339	54774	21497	1534	947	33277	0.0113	0.0073	0.0115	0.0070	0.0003
16	2956113	2856817	99296	22564	2077	1130	76732	0.0260	0.0076	0.0263	0.0073	0.0004
17	2956113	2898995	57118	21926	1759	629	35192	0.0119	0.0074	0.0122	0.0071	0.0002
18	2956113	2897685	58428	21490	1446	817	36938	0.0125	0.0073	0.0127	0.0070	0.0003
19	2956113	2885898	70215	22558	2285	1468	47657	0.0161	0.0076	0.0165	0.0072	0.0005
20	2956113	2857822	98291	23015	3030	1562	75276	0.0255	0.0078	0.0260	0.0073	0.0005
21	2956113	2867733	88380	23060	2969	1407	65320	0.0221	0.0078	0.0226	0.0073	0.0005
22	2956113	2872513	83600	23004	2799	1392	60596	0.0205	0.0078	0.0210	0.0073	0.0005
23	2956113	2872698	83415	22626	3139	1747	60789	0.0206	0.0077	0.0211	0.0071	0.0006
24	2956113	2856222	99891	24662	4716	2969	75229	0.0254	0.0083	0.0262	0.0075	0.0010
25	2956113	2820540	135573	27055	6200	3231	108518	0.0367	0.0092	0.0378	0.0081	0.0011
26	2956113	2835229	120884	27277	6596	3365	93607	0.0317	0.0092	0.0328	0.0081	0.0011
27	2956113	2815719	140394	28867	8582	5217	111527	0.0377	0.0098	0.0392	0.0083	0.0018
28	2956113	2785475	170638	30513	11165	5948	140125	0.0474	0.0103	0.0493	0.0084	0.0020
29	2956113	2796770	159343	32331	14431	8483	127012	0.0430	0.0109	0.0454	0.0085	0.0029
30	2956113	2718533	237580	34121	17520	9037	203459	0.0688	0.0115	0.0718	0.0086	0.0031
31	2956113	2763253	192860	36551	21759	12722	156309	0.0529	0.0124	0.0566	0.0087	0.0043
32	2956113	2633306	322807	26304	18018	5296	296503	0.1003	0.0089	0.1033	0.0059	0.0018
33	2956113	2718704	237409	51558	95000	89704	185851	0.0629	0.0174	0.0789	0.0014	0.0303
34	2956113	776788	2179325	44720	89704	0	2134605	0.7221	0.0151	0.7373	-0.0000	0.0000
