Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	1350238	1283620	66618	6508	3764	3764	60110	0.0445	0.0048	0.0459	0.0034	0.0028
1	1350238	1284505	65733	12215	5011	1247	53518	0.0396	0.0090	0.0415	0.0072	0.0009
2	1350238	1313378	36860	11301	2298	1051	25559	0.0189	0.0084	0.0198	0.0075	0.0008
3	1350238	1305041	45197	11792	3149	2098	33405	0.0247	0.0087	0.0259	0.0076	0.0016
4	1350238	1291500	58738	11115	2655	557	47623	0.0353	0.0082	0.0363	0.0072	0.0004
5	1350238	1328719	21519	9589	884	327	11930	0.0088	0.0071	0.0092	0.0068	0.0002
6	1350238	1324174	26064	9373	573	246	16691	0.0124	0.0069	0.0126	0.0067	0.0002
7	1350238	1332245	17993	9230	411	165	8763	0.0065	0.0068	0.0066	0.0067	0.0001
8	1350238	1330161	20077	9203	467	302	10874	0.0081	0.0068	0.0082	0.0066	0.0002
9	1350238	1321331	28907	9442	676	374	19465	0.0144	0.0070	0.0147	0.0067	0.0003
10	1350238	1322482	27756	9404	677	303	18352	0.0136	0.0070	0.0138	0.0067	0.0002
11	1350238	1327411	22827	9056	486	183	13771	0.0102	0.0067	0.0104	0.0065	0.0001
12	1350238	1330212	20026	8697	350	167	11329	0.0084	0.0064	0.0085	0.0063	0.0001
13	1350238	1329128	21110	8583	349	182	12527	0.0093	0.0064	0.0094	0.0062	0.0001
14	1350238	1328511	21727	8544	444	262	13183	0.0098	0.0063	0.0099	0.0062	0.0002
15	1350238	1320171	30067	8800	689	427	21267	0.0158	0.0065	0.0160	0.0063	0.0003
16	1350238	1317403	32835	9264	742	315	23571	0.0175	0.0069	0.0177	0.0066	0.0002
17	1350238	1325511	24727	8842	605	290	15885	0.0118	0.0065	0.0120	0.0063	0.0002
18	1350238	1324545	25693	8638	583	293	17055	0.0126	0.0064	0.0128	0.0062	0.0002
19	1350238	1322819	27419	9079	757	464	18340	0.0136	0.0067	0.0139	0.0064	0.0003
20	1350238	1309385	40853	9445	1220	756	31408	0.0233	0.0070	0.0237	0.0065	0.0006
21	1350238	1309320	40918	9575	1347	591	31343	0.0232	0.0071	0.0237	0.0066	0.0004
22	1350238	1314262	35976	9291	1232	641	26685	0.0198	0.0069	0.0202	0.0064	0.0005
23	1350238	1312189	38049	9171	1270	629	28878	0.0214	0.0068	0.0219	0.0063	0.0005
24	1350238	1312289	37949	9760	1499	870	28189	0.0209	0.0072	0.0214	0.0067	0.0006
25	1350238	1292936	57302	11078	2521	1651	46224	0.0342	0.0082	0.0352	0.0073	0.0012
26	1350238	1289839	60399	11563	3320	1669	48836	0.0362	0.0086	0.0374	0.0073	0.0012
27	1350238	1288535	61703	11252	3322	1653	50451	0.0374	0.0083	0.0386	0.0071	0.0012
28	1350238	1291533	58705	11120	3276	1623	47585	0.0352	0.0082	0.0365	0.0070	0.0012
29	1350238	1287872	62366	12032	4172	2549	50334	0.0373	0.0089	0.0388	0.0074	0.0019
30	1350238	1260490	89748	14306	7023	4474	75442	0.0559	0.0106	0.0585	0.0080	0.0033
31	1350238	1251428	98810	15508	9609	5135	83302	0.0617	0.0115	0.0653	0.0079	0.0038
32	1350238	1238690	111548	15974	11418	6283	95574	0.0708	0.0118	0.0750	0.0076	0.0047
33	1350238	1237159	113079	17922	13518	7235	95157	0.0705	0.0133	0.0755	0.0083	0.0054
34	1350238	1241815	108423	9660	7235	0	98763	0.0731	0.0072	0.0758	0.0045	0.0000
