Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	2369435	2250875	118560	12231	6593	6593	106329	0.0449	0.0052	0.0463	0.0038	0.0028
1	2369435	2253073	116362	22489	8698	2105	93873	0.0396	0.0095	0.0415	0.0077	0.0009
2	2369435	2304035	65400	20264	3875	1770	45136	0.0190	0.0086	0.0199	0.0077	0.0007
3	2369435	2290296	79139	21604	5224	3454	57535	0.0243	0.0091	0.0254	0.0080	0.0015
4	2369435	2265427	104008	20827	4454	1000	83181	0.0351	0.0088	0.0360	0.0078	0.0004
5	2369435	2330714	38721	18150	1590	590	20571	0.0087	0.0077	0.0090	0.0073	0.0002
6	2369435	2323003	46432	17823	965	375	28609	0.0121	0.0075	0.0123	0.0073	0.0002
7	2369435	2336966	32469	17477	640	265	14992	0.0063	0.0074	0.0065	0.0072	0.0001
8	2369435	2333357	36078	17443	744	479	18635	0.0079	0.0074	0.0080	0.0072	0.0002
9	2369435	2318476	50959	17759	1123	644	33200	0.0140	0.0075	0.0142	0.0073	0.0003
10	2369435	2320752	48683	17437	1158	514	31246	0.0132	0.0074	0.0134	0.0071	0.0002
11	2369435	2329358	40077	16547	833	319	23530	0.0099	0.0070	0.0101	0.0068	0.0001
12	2369435	2333718	35717	16154	631	312	19563	0.0083	0.0068	0.0084	0.0067	0.0001
13	2369435	2332008	37427	16454	627	315	20973	0.0089	0.0069	0.0090	0.0068	0.0001
14	2369435	2330899	38536	16111	743	428	22425	0.0095	0.0068	0.0096	0.0066	0.0002
15	2369435	2316600	52835	16415	1175	747	36420	0.0154	0.0069	0.0156	0.0067	0.0003
16	2369435	2312132	57303	17021	1308	561	40282	0.0170	0.0072	0.0173	0.0069	0.0002
17	2369435	2326430	43005	16317	1024	463	26688	0.0113	0.0069	0.0115	0.0067	0.0002
18	2369435	2323932	45503	16354	994	531	29149	0.0123	0.0069	0.0125	0.0067	0.0002
19	2369435	2321304	48131	17026	1325	794	31105	0.0131	0.0072	0.0134	0.0069	0.0003
20	2369435	2298284	71151	17405	2084	1290	53746	0.0227	0.0073	0.0231	0.0069	0.0005
21	2369435	2297905	71530	17523	2327	1037	54007	0.0228	0.0074	0.0233	0.0069	0.0004
22	2369435	2307097	62338	17378	2054	1017	44960	0.0190	0.0073	0.0194	0.0069	0.0004
23	2369435	2302810	66625	17347	2090	1073	49278	0.0208	0.0073	0.0212	0.0069	0.0005
24	2369435	2303533	65902	18136	2691	1618	47766	0.0202	0.0077	0.0207	0.0071	0.0007
25	2369435	2269866	99569	20082	4346	2728	79487	0.0335	0.0085	0.0345	0.0076	0.0012
26	2369435	2265038	104397	21047	5549	2821	83350	0.0352	0.0089	0.0363	0.0077	0.0012
27	2369435	2262785	106650	20685	5702	2881	85965	0.0363	0.0087	0.0375	0.0075	0.0012
28	2369435	2267739	101696	20421	5658	2777	81275	0.0343	0.0086	0.0355	0.0074	0.0012
29	2369435	2260793	108642	21814	7235	4458	86828	0.0366	0.0092	0.0382	0.0077	0.0019
30	2369435	2214063	155372	25653	12233	7775	129719	0.0547	0.0108	0.0573	0.0082	0.0033
31	2369435	2199167	170268	27822	16259	8484	142446	0.0601	0.0117	0.0635	0.0083	0.0036
32	2369435	2177419	192016	28617	18679	10195	163399	0.0690	0.0121	0.0729	0.0081	0.0043
33	2369435	2174976	194459	31567	22485	12290	162892	0.0687	0.0133	0.0735	0.0086	0.0052
34	2369435	2182492	186943	16756	12290	0	170187	0.0718	0.0071	0.0744	0.0045	0.0000
