Pos	Count	Matches	Mis	Valid	Inval	Inv St	Errors	E rate	SNPrate	CE rate	CSNPrat	FSNPrat
0	7216417	6843130	373287	37578	20860	20860	335709	0.0465	0.0052	0.0480	0.0038	0.0029
1	7216417	6859775	356642	69537	27475	6615	287105	0.0398	0.0096	0.0417	0.0077	0.0009
2	7216417	7015616	200801	63537	12379	5764	137264	0.0190	0.0088	0.0199	0.0079	0.0008
3	7216417	6970941	245476	67308	16512	10748	178168	0.0247	0.0093	0.0258	0.0082	0.0015
4	7216417	6896302	320115	64260	13733	2985	255855	0.0355	0.0089	0.0364	0.0080	0.0004
5	7216417	7097060	119357	55989	4666	1681	63368	0.0088	0.0078	0.0091	0.0074	0.0002
6	7216417	7074300	142117	54968	2870	1189	87149	0.0121	0.0076	0.0123	0.0074	0.0002
7	7216417	7117561	98856	54012	1976	787	44844	0.0062	0.0075	0.0064	0.0073	0.0001
8	7216417	7106767	109650	53994	2238	1451	55656	0.0077	0.0075	0.0079	0.0073	0.0002
9	7216417	7059405	157012	55421	3575	2124	101591	0.0141	0.0077	0.0143	0.0074	0.0003
10	7216417	7065403	151014	55009	3613	1489	96005	0.0133	0.0076	0.0136	0.0074	0.0002
11	7216417	7092707	123710	52252	2406	917	71458	0.0099	0.0072	0.0101	0.0071	0.0001
12	7216417	7107299	109118	50365	1891	974	58753	0.0081	0.0070	0.0083	0.0068	0.0001
13	7216417	7102052	114365	51021	1941	967	63344	0.0088	0.0071	0.0089	0.0069	0.0001
14	7216417	7098539	117878	50771	2268	1301	67107	0.0093	0.0070	0.0095	0.0069	0.0002
15	7216417	7054548	161869	51650	3493	2192	110219	0.0153	0.0072	0.0155	0.0069	0.0003
16	7216417	7039696	176721	52909	3840	1648	123812	0.0172	0.0073	0.0174	0.0071	0.0002
17	7216417	7085365	131052	50920	2968	1320	80132	0.0111	0.0071	0.0113	0.0069	0.0002
18	7216417	7078641	137776	50863	2890	1570	86913	0.0120	0.0070	0.0122	0.0068	0.0002
19	7216417	7068674	147743	52884	3928	2358	94859	0.0131	0.0073	0.0134	0.0071	0.0003
20	7216417	6997467	218950	54535	6229	3871	164415	0.0228	0.0076	0.0232	0.0071	0.0005
21	7216417	6995746	220671	55036	6963	3092	165635	0.0230	0.0076	0.0234	0.0071	0.0004
22	7216417	7027185	189232	53940	6177	3085	135292	0.0187	0.0075	0.0192	0.0070	0.0004
23	7216417	7012755	203662	53651	6229	3144	150011	0.0208	0.0074	0.0212	0.0070	0.0004
24	7216417	7015153	201264	56636	7863	4719	144628	0.0200	0.0078	0.0206	0.0073	0.0007
25	7216417	6911423	304994	62905	13410	8691	242089	0.0335	0.0087	0.0345	0.0078	0.0012
26	7216417	6893728	322689	65799	17153	8462	256890	0.0356	0.0091	0.0368	0.0079	0.0012
27	7216417	6895247	321170	64002	17071	8609	257168	0.0356	0.0089	0.0368	0.0077	0.0012
28	7216417	6906755	309662	63458	17092	8483	246204	0.0341	0.0088	0.0353	0.0076	0.0012
29	7216417	6884509	331908	68339	22149	13666	263569	0.0365	0.0095	0.0381	0.0079	0.0019
30	7216417	6741071	475346	79886	37192	23526	395460	0.0548	0.0111	0.0574	0.0085	0.0033
31	7216417	6690116	526301	86297	49424	25898	440004	0.0610	0.0120	0.0644	0.0085	0.0036
32	7216417	6635417	581000	87856	57011	31113	493144	0.0683	0.0122	0.0723	0.0082	0.0043
33	7216417	6624945	591472	98294	68853	37740	493178	0.0683	0.0136	0.0731	0.0089	0.0052
34	7216417	6645310	571107	53154	37740	0	517953	0.0718	0.0074	0.0744	0.0048	0.0000
